Algorithm,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
DT(1),6,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,11,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,16,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(1),6,10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079936083,0.011043475,0.992875122,0.972137256,0.101577912,0.127332323,0.954772748,0.776968143,0.110546478,0.017823171,0.94266881,0.737569557
DT(2),8,14,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,8,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,8,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,9,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,14,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,12,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,5,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,5,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,13,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,4,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,7,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,8,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,7,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,8,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(2),8,8,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059581617,0.006412498,0.995901521,0.983820381,0.084674718,0.109018134,0.966298988,0.853378682,0.091957791,0.013206074,0.952530989,0.798855233
DT(3),14,7,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030748074,0.00186387,0.998810363,0.99525985,0.072649452,0.096279566,0.972482322,0.886636516,0.078451825,0.009921752,0.961546006,0.846274997
DT(3),18,6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030501642,0.001843319,0.99882196,0.995305908,0.072647376,0.096221292,0.972487971,0.886644524,0.078504032,0.009938005,0.961526873,0.84621451
DT(3),9,15,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.047135596,0.004055312,0.997396895,0.989675189,0.078017794,0.099585961,0.971989549,0.880237804,0.084020999,0.011204019,0.959439681,0.834357503
