Algorithm,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121025579,0.024050398,0.984418352,0.940623568,0.138806424,0.168587893,0.908616362,-0.216797523,0.154264062,0.039761391,0.891792578,0.059693602
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(2),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091538428,0.014157611,0.991075272,0.965262792,0.104395446,0.133523143,0.932369335,0.26988561,0.115288072,0.024974184,0.917564684,0.356095719
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(3),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056311385,0.006208216,0.996053479,0.984414533,0.060254169,0.081632023,0.961499892,0.751279522,0.063139747,0.00807331,0.962482554,0.799424801
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.05593291,0.006175294,0.99607204,0.984487206,0.059915274,0.081439125,0.9615699,0.753466609,0.062624955,0.007972111,0.962900217,0.803369311
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.05593291,0.006175294,0.99607204,0.984487206,0.059915274,0.081439125,0.9615699,0.753466609,0.062624955,0.007972111,0.962900217,0.803369311
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055888364,0.006061423,0.996142235,0.984761751,0.059874207,0.080814391,0.961941443,0.754992767,0.062825355,0.007926409,0.963101372,0.80235382
LR(4),1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.05593291,0.006175294,0.99607204,0.984487206,0.059915274,0.081439125,0.9615699,0.753466609,0.062624955,0.007972111,0.962900217,0.803369311
LR(5),1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054502131,0.00583044,0.996299993,0.985377957,0.058377317,0.078967729,0.960920229,0.752819553,0.061533569,0.00773475,0.96242139,0.802088385
LR(5),1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054502131,0.00583044,0.996299993,0.985377957,0.058377317,0.078967729,0.960920229,0.752819553,0.061533569,0.00773475,0.96242139,0.802088385
LR(5),1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.055001384,0.005996916,0.996191816,0.984954997,0.058940845,0.08013097,0.961249899,0.75277156,0.061692255,0.007806372,0.962674324,0.803119432
