Algorithm,epochs,layers,neurons,batch_size,learning_rate,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
NN(1),136,4,15,449,0.020282409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084675068,0.111277134,0.992149218,0.968633089,0.101001163,0.125916084,0.954273996,0.769601178,0.111635993,0.133188997,0.94093668,0.721411006
NN(1),123,3,42,465,0.025465455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082627421,0.107816838,0.992485328,0.970548508,0.097496826,0.122135174,0.957585108,0.785528652,0.111018742,0.132136183,0.946250307,0.757481632
NN(1),180,2,39,189,0.040224772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083553684,0.109032096,0.9923376,0.969810449,0.105389052,0.130213062,0.954959199,0.782581012,0.110282983,0.131178528,0.9278233,0.689471699
NN(1),74,3,41,291,0.03152645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086620319,0.112640714,0.991717819,0.968254866,0.101642984,0.126517311,0.954468013,0.772721331,0.115695121,0.13671183,0.943535428,0.756755796
NN(1),129,2,45,475,0.078518668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083054296,0.108273684,0.992389602,0.970306027,0.100070762,0.126620703,0.951896987,0.754082264,0.108380625,0.127886976,0.941984607,0.726602276
NN(1),66,2,49,799,0.048469989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08266513,0.107834504,0.992411515,0.970476902,0.097590457,0.122893739,0.957213624,0.780543252,0.109903802,0.130870068,0.944627848,0.756547563
NN(1),116,3,49,460,0.03660944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088984712,0.116271331,0.991195423,0.966418517,0.101007078,0.127037909,0.953131075,0.764499304,0.122833628,0.142111971,0.921949341,0.618603881
NN(1),86,2,20,355,0.057488393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083951996,0.109888199,0.992162697,0.969500977,0.099986816,0.123879976,0.95434386,0.773242852,0.114322252,0.135752725,0.937939967,0.706985709
NN(1),186,2,39,564,0.044942635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082715717,0.108495102,0.992341623,0.970093668,0.101254293,0.126545323,0.956185646,0.785411218,0.118290308,0.139606041,0.933289466,0.691026446
NN(1),160,2,24,436,0.047066086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084498908,0.109801044,0.992088099,0.969276685,0.095212698,0.119527181,0.96010601,0.803033745,0.115937473,0.137511884,0.938839857,0.728139642
