Algorithm,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
RF(1),30,6,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079751763,0.010997234,0.992887964,0.972215897,0.100778619,0.126401878,0.955347621,0.780509066,0.110115857,0.01774769,0.942001545,0.738579328
RF(1),74,6,15,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079719256,0.010990452,0.992897211,0.972229398,0.100696135,0.126296094,0.955352322,0.780402072,0.10989176,0.017718199,0.942021891,0.738978559
RF(1),57,6,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07972227,0.010989349,0.992897154,0.972232409,0.100753782,0.126384459,0.955361661,0.780441993,0.109993553,0.017762664,0.941833736,0.738208261
RF(1),296,6,13,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079742927,0.010994032,0.992893,0.972219474,0.100708792,0.126326752,0.95536308,0.780504874,0.109826772,0.01770592,0.942152982,0.73972542
RF(1),28,6,15,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079738588,0.010995067,0.992893926,0.972223782,0.100863182,0.126483091,0.955289282,0.780409701,0.109800024,0.017711347,0.94207323,0.739629753
RF(1),76,6,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079720012,0.0109806,0.992904693,0.972262548,0.100762396,0.126377607,0.955379954,0.780307246,0.109592664,0.017565509,0.942565761,0.740382257
RF(1),26,6,17,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079795762,0.011010933,0.992880337,0.972175516,0.101016976,0.126733447,0.95511567,0.779321659,0.109898278,0.017769449,0.942241342,0.740539492
RF(1),23,6,7,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079717764,0.010992607,0.992895961,0.972230489,0.10085359,0.126442506,0.955327274,0.780529161,0.11054877,0.017890708,0.94129914,0.735191978
RF(1),33,6,10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079763827,0.011000433,0.992888852,0.972198635,0.100809089,0.12648386,0.955207756,0.77947647,0.109727769,0.017736723,0.942339224,0.740704265
RF(1),53,6,12,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079687186,0.010982204,0.992902902,0.972254641,0.100794314,0.126395171,0.955386033,0.780646475,0.109568391,0.017582806,0.9427754,0.741343311
RF(1),142,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079144321,0.010764098,0.993068125,0.972896951,0.100715417,0.125829851,0.955570253,0.780808843,0.109110917,0.017179164,0.943484414,0.74272853
RF(1),20,6,14,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079768685,0.011001881,0.992889306,0.972205669,0.100696391,0.126344014,0.955418649,0.780793653,0.109960149,0.017625518,0.941897564,0.737533768
RF(1),66,6,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079744948,0.010998953,0.992891387,0.972209773,0.10077906,0.126387125,0.955338791,0.780297125,0.109900416,0.017694713,0.941936306,0.738474722
RF(1),30,6,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079775205,0.01100844,0.992880538,0.972177316,0.100860562,0.12649902,0.955271592,0.780179459,0.110301109,0.017896511,0.941293377,0.736047798
RF(1),19,6,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079807442,0.010998963,0.992897817,0.972222006,0.100839206,0.126477619,0.955282169,0.779873148,0.109707093,0.017550677,0.942436301,0.739707951
RF(2),203,8,9,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05774172,0.005986837,0.996168541,0.984887232,0.081302233,0.104754322,0.968474657,0.862912029,0.087809988,0.011978141,0.955386184,0.813364875
RF(2),180,8,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.058032912,0.00604463,0.996131633,0.984740734,0.081247174,0.104726363,0.968543076,0.863281456,0.087710003,0.011938306,0.955210851,0.8129006
RF(2),223,8,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057488283,0.005934948,0.99620367,0.985023037,0.081233119,0.104646523,0.968544045,0.863154422,0.087805634,0.011973613,0.955219037,0.812716824
RF(2),160,8,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057508125,0.005937119,0.996203146,0.985020035,0.081170428,0.104567031,0.968575267,0.863325496,0.087721496,0.011981462,0.95559724,0.814095469
