Algorithm,epsilon,C,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
SVR(1),0.01106748,13.7534794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11845639,0.158908245,0.984287889,0.936476834,0.135983259,0.168866667,0.913001625,-0.431457099,0.147780895,0.186390953,0.895078392,-0.042318164
SVR(1),0.033496818,13.76138269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118593945,0.159569036,0.984272215,0.93616839,0.136777947,0.170036416,0.913453288,-0.532653754,0.14436355,0.185000511,0.89558289,-0.144259651
SVR(1),0.041675003,14.59633219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119479743,0.157970664,0.984411873,0.938031966,0.13646052,0.168583189,0.913069086,-0.425467219,0.142383141,0.179029509,0.901262195,0.106108272
SVR(1),0.033559146,14.95614718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118786066,0.157545859,0.984516052,0.937970063,0.137748656,0.171399041,0.911497202,-0.477086982,0.144568844,0.183578774,0.895626574,-0.048196597
SVR(1),0.064777741,12.24873138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118811212,0.156685106,0.984471601,0.938603966,0.136514993,0.168753781,0.912096167,-0.377423335,0.151097509,0.189452341,0.892183123,-0.016555363
SVR(1),0.058536738,14.02305084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118861804,0.158594469,0.984345035,0.937579044,0.136121864,0.168172234,0.911682098,-0.2942965,0.149887354,0.190369968,0.890940147,-0.084767963
SVR(1),0.013001353,14.78746184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118879293,0.160571496,0.984143898,0.935727186,0.13600141,0.169081286,0.913006341,-0.446542203,0.151675984,0.193738079,0.89064657,-0.219800882
SVR(1),0.054542285,14.18936907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119252141,0.15896575,0.984299798,0.937329949,0.133256115,0.164902411,0.914658372,-0.35895971,0.154264904,0.196698873,0.887964456,-0.258389326
SVR(1),0.069164412,12.97811182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118620075,0.156492087,0.984518354,0.938765175,0.136137554,0.168238224,0.912181229,-0.259472311,0.146198672,0.183901635,0.896100397,0.02632024
SVR(1),0.034858635,11.77116731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118830423,0.159908584,0.984124831,0.935720105,0.135707417,0.16825535,0.913184102,-0.343035384,0.136601357,0.17324244,0.904350563,0.114213537
SVR(1),0.018426697,14.04932039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118801296,0.157525492,0.984464076,0.937542383,0.13851749,0.171320759,0.912071196,-0.408259037,0.144485888,0.183528447,0.896354013,-0.079412228
SVR(1),0.044514933,14.09562235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118516016,0.156482196,0.984584694,0.938820192,0.136225908,0.168536895,0.91258538,-0.428067306,0.148630563,0.187491909,0.893312272,-0.050706453
SVR(1),0.041449731,14.49932846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118779515,0.158957597,0.984197698,0.936772174,0.135531318,0.168624363,0.91299049,-0.402419836,0.148996989,0.188864861,0.892855592,-0.077423801
SVR(1),0.069024775,11.48411628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118741958,0.156913839,0.984522091,0.938360439,0.135698735,0.167616286,0.911641555,-0.291258343,0.146344246,0.186058514,0.893702727,-0.105957367
SVR(1),0.035088153,14.09581972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119412265,0.158776516,0.984267224,0.936911445,0.13663843,0.168677529,0.912467487,-0.433875004,0.15684163,0.199127608,0.887692058,-0.332290496
SVR(2),0.069362814,13.98916472,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092277165,0.121439763,0.990878952,0.963434996,0.104297523,0.134076146,0.933084232,0.162172615,0.11186976,0.147237828,0.918052973,0.290566618
SVR(2),0.019716181,12.05938625,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091576054,0.119447928,0.990930941,0.964738002,0.10356947,0.134027662,0.932139444,0.134652538,0.115244165,0.150395802,0.918835822,0.39317882
SVR(2),0.045059234,10.83312798,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091515687,0.119695777,0.990975,0.964458506,0.104971414,0.134548143,0.931885866,0.134875842,0.118275734,0.154430532,0.913518399,0.217008448
SVR(2),0.075882985,11.28652032,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092369219,0.11951547,0.990906449,0.96468397,0.107321934,0.137258546,0.930036513,0.139558917,0.114149151,0.14895545,0.918797614,0.372591366
SVR(2),0.022875046,9.668729849,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091646518,0.121086407,0.990886129,0.963808975,0.103075721,0.133449482,0.933328423,0.137015513,0.116930234,0.153963286,0.912306301,0.165131333
SVR(2),0.016129838,9.588020897,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09146389,0.119618228,0.990945835,0.964414582,0.104253847,0.134144462,0.932352933,0.1586265,0.110703661,0.144530043,0.921637804,0.38778168
SVR(2),0.126017811,14.52470898,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.093999914,0.120146936,0.99065743,0.964224986,0.107386371,0.136109421,0.931244098,0.235486727,0.116016595,0.147816054,0.925004061,0.48661232
SVR(2),0.189878513,10.62238244,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09769735,0.122725823,0.990190602,0.962748008,0.107488769,0.135648447,0.931157311,0.352239656,0.114964342,0.148398998,0.92283907,0.443678893
SVR(2),0.031141879,14.97518674,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091447915,0.121634005,0.990903953,0.963533295,0.104467148,0.132939199,0.933286787,0.309248888,0.112069684,0.147278443,0.918768598,0.307516388
SVR(2),0.018813874,11.91286589,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.090950886,0.119678849,0.991074529,0.964568139,0.102308959,0.131872261,0.934177394,0.2367041,0.112268723,0.147774638,0.917720406,0.313613375
SVR(2),0.012784477,10.88241009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091943522,0.12213945,0.990710413,0.963272761,0.102172403,0.131971815,0.93416238,0.200780605,0.104621152,0.136613453,0.930552636,0.509036011
SVR(2),0.036774333,11.30560273,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09109323,0.120043231,0.990968196,0.964451065,0.106170912,0.136150469,0.931188624,0.089465172,0.111859342,0.146353244,0.921068834,0.404175141
SVR(2),0.024771639,8.923061139,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091057048,0.11902347,0.991074429,0.964879248,0.104482153,0.13486967,0.932111745,0.194665283,0.1099704,0.144168303,0.922047886,0.394130624
SVR(2),0.05651541,11.39868655,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.093219453,0.122652362,0.990405947,0.962657746,0.104276755,0.1331796,0.93271444,0.21701838,0.108358876,0.139214152,0.931109234,0.533732296
SVR(2),0.029381257,9.412549294,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091608059,0.121632018,0.990919908,0.963448297,0.104091795,0.134199764,0.932440538,0.183738945,0.108437411,0.142983405,0.92176263,0.361884045
SVR(3),0.019190391,2.000918829,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.055835838,0.079573793,0.995954464,0.983942732,0.058606087,0.080326108,0.960443451,0.741091888,0.059385433,0.082138202,0.964829234,0.816131561
SVR(3),0.031728359,7.279029772,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.070890883,0.0976151,0.993940017,0.975886387,0.071501891,0.095390384,0.948746984,0.591707625,0.080531159,0.108026204,0.937725724,0.567779586
SVR(3),0.034417002,3.547412249,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.068448,0.095653424,0.994177133,0.97686325,0.072365531,0.096747438,0.947439705,0.569521626,0.075007794,0.10200957,0.946623791,0.66961366
SVR(3),0.014391054,4.610861665,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.068537768,0.096039205,0.994065396,0.976568519,0.072717709,0.097029273,0.947642234,0.572234172,0.076537487,0.103629395,0.946263569,0.671940368
SVR(3),0.013773528,1.750803623,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.055687329,0.0795703,0.995954099,0.9839264,0.058573325,0.080218461,0.960646481,0.742971639,0.06203581,0.085873536,0.960218427,0.781937105
SVR(3),0.016103785,4.507877427,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056192389,0.08007854,0.995935561,0.983577624,0.059265017,0.080927981,0.960179742,0.740903855,0.061374515,0.084646658,0.961079198,0.785292866
SVR(3),0.011785134,3.420541767,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.068523467,0.095845567,0.994171273,0.976738856,0.072804733,0.097339852,0.947592494,0.571400321,0.073213246,0.099470268,0.94844796,0.684813203
SVR(3),0.02906264,3.918251345,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.069014624,0.096043421,0.994167312,0.97660706,0.072505242,0.096665815,0.947875613,0.582717403,0.077585259,0.104997976,0.940555812,0.602949505
SVR(3),0.015098618,4.456447089,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056297966,0.080289302,0.995929966,0.983572832,0.058726567,0.080382042,0.960226884,0.736324774,0.062616575,0.086130259,0.957500697,0.758259459
SVR(3),0.021188558,4.847637622,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056150357,0.079534135,0.995934643,0.983976302,0.059208406,0.081017234,0.960194322,0.740750863,0.060673465,0.083225723,0.964390771,0.812144153
SVR(3),0.012958461,3.353890022,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056274747,0.080105065,0.995916841,0.983665673,0.05942816,0.081319011,0.959944951,0.736902915,0.059808887,0.082725957,0.963764508,0.807334042
SVR(3),0.020023037,2.60096433,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.055681868,0.079465914,0.995981142,0.983979793,0.058645564,0.080275644,0.960380413,0.73790769,0.060040748,0.083283624,0.962892529,0.801404193
SVR(3),0.018096162,3.839008019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05564768,0.079394953,0.995970431,0.984010498,0.059609098,0.081384811,0.95940324,0.725680687,0.059685172,0.08286085,0.963640078,0.806002772
SVR(3),0.013620743,1.24032127,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.055570895,0.079413181,0.995977303,0.984007079,0.058468218,0.080155057,0.960458039,0.739746941,0.059823187,0.083134473,0.963059998,0.802903755
SVR(3),0.013369187,3.374392863,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.055884666,0.079370741,0.995939895,0.984001775,0.058522309,0.080322636,0.960441671,0.739139522,0.059826937,0.083020645,0.963824199,0.809017246
SVR(4),0.011392295,1.747983454,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055179294,0.078488599,0.996064703,0.984341756,0.058077414,0.079353038,0.961133961,0.746330041,0.060054224,0.083102439,0.962513444,0.79705397
SVR(4),0.031776132,6.334073385,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.067504698,0.093583126,0.994446309,0.97794552,0.073252339,0.097191409,0.947329935,0.535687953,0.073489844,0.098486587,0.950167819,0.699322702
