Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(1),0.000100023,0.000516307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033587,0.154223313,0.984416816,0.940623559,0.13881689,0.168589109,0.908605247,-0.216131202,0.154279478,0.190573459,0.891793968,0.060032733
LR-EN(1),0.000100054,0.000260938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033588,0.154223313,0.984416816,0.940623559,0.138816891,0.168589108,0.908605246,-0.216131071,0.154279479,0.190573459,0.891793968,0.06003277
LR-EN(1),0.000100025,0.000354563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033586,0.154223313,0.984416816,0.940623559,0.138816888,0.168589108,0.908605248,-0.216131236,0.154279476,0.190573458,0.891793968,0.060032696
LR-EN(1),0.000100021,0.000234439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033585,0.154223313,0.984416817,0.940623559,0.138816887,0.168589108,0.90860525,-0.216131299,0.154279473,0.190573457,0.891793968,0.060032651
LR-EN(1),0.000100035,0.002073581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033595,0.154223313,0.984416814,0.940623559,0.138816905,0.168589117,0.908605232,-0.216130663,0.1542795,0.19057347,0.891793967,0.060033187
LR-EN(1),0.000100012,0.000207179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033584,0.154223313,0.984416817,0.940623559,0.138816886,0.168589108,0.908605251,-0.216131366,0.154279472,0.190573457,0.891793968,0.060032613
LR-EN(1),0.000100028,0.000796954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033588,0.154223313,0.984416816,0.940623559,0.138816893,0.168589111,0.908605244,-0.216131086,0.154279482,0.190573461,0.891793968,0.060032824
LR-EN(1),0.000100129,0.000322679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033594,0.154223313,0.984416815,0.940623559,0.138816899,0.16858911,0.908605237,-0.216130554,0.154279491,0.190573464,0.891793969,0.06003304
LR-EN(1),0.000100024,0.00023143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033585,0.154223313,0.984416817,0.940623559,0.138816887,0.168589108,0.90860525,-0.216131279,0.154279474,0.190573457,0.891793968,0.06003266
LR-EN(1),0.000100008,0.000161411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033584,0.154223313,0.984416817,0.940623559,0.138816885,0.168589107,0.908605252,-0.216131407,0.15427947,0.190573456,0.891793968,0.060032588
LR-EN(1),0.000100051,0.001247753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033592,0.154223313,0.984416815,0.940623559,0.138816899,0.168589113,0.908605238,-0.2161308,0.154279492,0.190573466,0.891793968,0.060033022
LR-EN(1),0.000100021,0.000127334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033585,0.154223313,0.984416817,0.940623559,0.138816886,0.168589107,0.908605251,-0.21613133,0.154279472,0.190573457,0.891793968,0.060032623
LR-EN(1),0.000100116,0.001453068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033598,0.154223313,0.984416814,0.940623559,0.138816908,0.168589115,0.908605229,-0.216130306,0.154279505,0.190573471,0.891793969,0.060033297
LR-EN(1),0.000100016,0.000118738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033584,0.154223313,0.984416817,0.940623559,0.138816885,0.168589107,0.908605252,-0.216131366,0.154279471,0.190573456,0.891793968,0.060032603
LR-EN(1),0.000100289,0.000764187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033609,0.154223313,0.984416812,0.940623559,0.13881692,0.168589114,0.908605216,-0.216129358,0.154279522,0.190573477,0.891793971,0.0600337
LR-EN(2),0.018164676,0.000261805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092212246,0.118797547,0.990930619,0.96505714,0.103977617,0.132525015,0.933405897,0.377818873,0.114631188,0.149362995,0.920396671,0.421869406
LR-EN(2),0.018197824,0.000115431,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092214159,0.118799321,0.990930191,0.965056173,0.103977537,0.132524475,0.933407892,0.378033193,0.114630372,0.149361524,0.920402234,0.422000405
LR-EN(2),0.018304435,0.000120349,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092219179,0.11880337,0.990929081,0.965053949,0.103977475,0.132521532,0.933412483,0.378554117,0.114628098,0.149356007,0.92041802,0.422342627
LR-EN(2),0.01830769,0.000120384,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092219332,0.118803494,0.990929047,0.965053881,0.103977476,0.132521446,0.933412621,0.378569995,0.114628028,0.149355839,0.920418502,0.422353064
LR-EN(2),0.018373904,0.000269979,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092221955,0.118805308,0.99092848,0.965052881,0.103977918,0.132519841,0.933414516,0.378822884,0.114627582,0.149353453,0.920425807,0.422511545
LR-EN(2),0.017970101,0.000123823,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092203485,0.118790735,0.990932549,0.965060887,0.103977504,0.132530527,0.933398291,0.376917913,0.114635289,0.149373395,0.920368518,0.421268576
LR-EN(2),0.017962877,0.000116947,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092203142,0.118790462,0.990932625,0.965061037,0.103977584,0.132530843,0.933397913,0.376881991,0.114635431,0.149373763,0.920367442,0.421245048
LR-EN(2),0.012447355,0.010413093,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091962286,0.118606971,0.990985072,0.965161263,0.104031434,0.132734172,0.933127244,0.348187333,0.114794443,0.149697997,0.919530887,0.402917234
LR-EN(2),0.018023779,0.000174083,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092205814,0.118792506,0.990932038,0.965059913,0.103977659,0.13252913,0.933400162,0.377154574,0.11463385,0.149370067,0.920376453,0.421431723
